Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
1999,AK,Alaska,Demographics,Marital Status,What is your marital status?,Separated,45-54,Age Group,12,1.9,0.4,3.4,979,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,2,AGE04,CAT3,MARITAL,RESP036,"(64.845079957001, -147.722059036)"
2009,GA,Georgia,Demographics,Education,What is the highest grade or year of school you completed?,College+,Overall,Overall,1940,35.5,33.6,37.4,1439,%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,13,BO1,CAT1,EDUCA,RESP024,"(32.839681093, -83.627580346)"
1996,VT,Vermont,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,45-54,Age Group,82,17.9,14.1,21.7,891,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,50,AGE04,CAT3,_CHLDCNT,RESP094,"(43.625381239, -72.517640791)"
2008,CO,Colorado,Demographics,Marital Status,What is your marital status?,Widowed,"Less than $15,000",Household Income,207,13.1,10.7,15.6,1297,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,8,INCOME1,CAT6,MARITAL,RESP035,"(38.843840757, -106.133610921)"
2004,MO,Missouri,Demographics,Income,What is your annual household income?,"Less than $15,000",18-24,Age Group,53,17.2,11.7,22.7,1709,%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,29,AGE01,CAT3,INCOME,RESP016,"(38.635790776, -92.566300053)"
2005,KS,Kansas,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,25-34,Age Group,589,57.0,53.6,60.4,907,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,20,AGE02,CAT3,DRNKANY4,RESP046,"(38.3477403, -98.200781227)"
2004,ID,Idaho,Health Status,Overall Health,How is your general health?,Very good,45-54,Age Group,383,36.9,33.5,40.3,25,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,16,AGE04,CAT3,GENHLTH,RESP057,"(43.682630005, -114.363730042)"
2006,MA,Massachusetts,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,1112,89.9,87.8,92.0,1975,%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,25,EDUCA4,CAT5,_MAM502Y,RESP046,"(42.27687047, -72.082690675)"
2005,LA,Louisiana,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Never smoked,"$15,000-$24,999",Household Income,269,48.7,43.5,53.9,892,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,22,INCOME2,CAT6,_SMOKER3,RESP071,"(31.312660644, -92.445680071)"
2007,MN,Minnesota,Physical Activity,Physical Activity,"Adults with 30+ minutes of moderate physical activity five or more days per week, or vigorous physical activity for 20+ minutes three or more days per week",No,Female,Gender,1621,51.8,49.4,54.2,2142,%,Crude Prevalence,,,BRFSS,CLASS15,Topic44,27,SEX2,CAT2,_RFPAMOD,RESP054,"(46.355648736, -94.794200503)"
1998,IL,Illinois,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,75,22.4,17.3,27.5,446,%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,17,AGE05,CAT3,_RFSMOK2,RESP046,"(40.485010283, -88.997710178)"
2001,MN,Minnesota,Physical Activity,Physical Activity,Adults with 20+ minutes of vigorous physical activity three or more days per week (variable calculated from one or more BRFSS questions),Yes,Female,Gender,439,20.4,18.5,22.3,2138,%,Crude Prevalence,,,BRFSS,CLASS15,Topic44,27,SEX2,CAT2,_RFPAVIG,RESP046,"(46.355648736, -94.794200503)"
1995,MI,Michigan,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,35-44,Age Group,140,25.2,21.4,29.0,612,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,26,AGE03,CAT3,_SMOKER1,RESP070,"(44.661319543001, -84.71439027)"
2006,LA,Louisiana,Demographics,Employment,What is your employment status?,Unable to work,Less than H.S.,Education Attained,200,16.6,13.9,19.3,1437,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,22,EDUCA1,CAT5,EMPLOY,RESP032,"(31.312660644, -92.445680071)"
2002,OH,Ohio,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,65+,Age Group,566,72.5,68.1,76.9,122,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,39,AGE09,CAT3,_RFHLTH,RESP061,"(40.060210141, -82.404260056)"
2009,IN,Indiana,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,"Black, non-Hispanic",Race/Ethnicity,792,77.7,73.6,81.8,135,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,18,RACE2,CAT4,_RFHLTH,RESP061,"(39.766910452, -86.149960194)"
2000,UT,Utah,Demographics,Age,What is your age?,18-24 years,18-24,Age Group,403,100.0,100.0,100.0,694,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,49,AGE01,CAT3,AGE,RESP010,"(39.360700171, -111.587130635)"
2003,WI,Wisconsin,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,College graduate,Education Attained,875,79.4,76.6,82.2,950,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,55,EDUCA4,CAT5,DRNKANY3,RESP046,"(44.393191174, -89.816370742)"
2006,NV,Nevada,Demographics,Employment,What is your employment status?,Student,College graduate,Education Attained,16,2.4,0.9,3.9,1432,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,32,EDUCA4,CAT5,EMPLOY,RESP030,"(39.49324039, -117.071840564)"
2001,HI,Hawaii,Physical Activity,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,Hispanic,Race/Ethnicity,63,21.4,15.0,27.8,275,%,Crude Prevalence,,,BRFSS,CLASS15,Topic23,15,RACE3,CAT4,_TOTINDA,RESP054,"(21.304850435, -157.857749403)"
2009,MN,Minnesota,Demographics,Employment,What is your employment status?,Unable to work,55-64,Age Group,85,6.4,5.0,7.9,1568,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,27,AGE05,CAT3,EMPLOY,RESP032,"(46.355648736, -94.794200503)"
2009,MT,Montana,Physical Activity,Physical Activity,"Adults with 30+ minutes of moderate physical activity five or more days per week, or vigorous physical activity for 20+ minutes three or more days per week",No,55-64,Age Group,762,43.8,40.9,46.7,2289,%,Crude Prevalence,,,BRFSS,CLASS15,Topic44,30,AGE05,CAT3,_RFPAMOD,RESP054,"(47.066528972, -109.424420645)"
2007,WI,Wisconsin,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),Yes,"$35,000-$49,999",Household Income,97,8.2,6.0,10.4,679,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,55,INCOME4,CAT6,_CASTHMA,RESP046,"(44.393191174, -89.816370742)"
2007,VA,Virginia,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),No,"Multiracial, non-Hispanic",Race/Ethnicity,33,,,,713,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS17,Topic15,51,RACE5,CAT4,_RFSMOK3,RESP054,"(37.542680674, -78.457890463)"
2000,MN,Minnesota,Demographics,Marital Status,What is your marital status?,Married,"Black, non-Hispanic",Race/Ethnicity,29,,,,843,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS05,Topic38,27,RACE2,CAT4,MARITAL,RESP033,"(46.355648736, -94.794200503)"
2005,AR,Arkansas,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,35-44,Age Group,14,1.5,0.6,2.4,2310,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,5,AGE03,CAT3,CVDCRHD3,RESP046,"(34.748650124, -92.274490743)"
2008,DE,Delaware,Oral Health,Teeth Removed,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),Yes,Less than H.S.,Education Attained,225,,,,409,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS13,Topic57,10,EDUCA1,CAT5,_EXTETH2,RESP046,"(39.008830667, -75.577741168)"
2009,NE,Nebraska,Demographics,Education,What is the highest grade or year of school you completed?,College+,"$15,000-$24,999",Household Income,293,13.7,10.2,17.1,1514,%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,31,INCOME2,CAT6,EDUCA,RESP024,"(41.641040988001, -99.365720623)"
2010,NM,New Mexico,Demographics,Age,What is your age?,35-44 years,Female,Gender,521,16.3,14.8,17.9,1082,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,35,SEX2,CAT2,AGE,RESP012,"(34.520880952, -106.240580985)"
2003,OR,Oregon,Cholesterol Awareness,Cholesterol Checked,Adults who have had their blood cholesterol checked within the last five years (variable calculated from one or more BRFSS questions),Not Checked in past 5 years,"$35,000-$49,999",Household Income,31,4.4,2.8,6.0,518,%,Crude Prevalence,,,BRFSS,CLASS02,Topic11,41,INCOME4,CAT6,_CHOLCHK,RESP073,"(44.567449424, -120.155031326)"
2007,GA,Georgia,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,"Other, non-Hispanic",Race/Ethnicity,29,14.1,7.6,20.6,771,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,13,RACE4,CAT4,_SMOKER3,RESP068,"(32.839681093, -83.627580346)"
2000,NE,Nebraska,Health Status,Overall Health,How is your general health?,Good,55-64,Age Group,91,27.0,21.6,32.4,32,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,31,AGE05,CAT3,GENHLTH,RESP058,"(41.641040988001, -99.365720623)"
2006,NC,North Carolina,Women's Health,Mammogram,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"Less than $15,000",Household Income,724,69.3,65.7,72.9,1940,%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,37,INCOME1,CAT6,_RFMAM2Y,RESP046,"(35.466220975, -79.159250463)"
2005,GA,Georgia,Demographics,Employment,What is your employment status?,Self emplyd,25-34,Age Group,57,6.6,4.5,8.7,1625,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,13,AGE02,CAT3,EMPLOY,RESP026,"(32.839681093, -83.627580346)"
1995,RI,Rhode Island,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Four children,Some post-H.S.,Education Attained,4,0.7,0.0,1.4,1196,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,44,EDUCA3,CAT5,_CHLDCNT,RESP091,"(41.708280193, -71.522470314)"
2004,TN,Tennessee,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,"$50,000+",Household Income,115,12.7,10.0,15.4,878,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,47,INCOME5,CAT6,_DENTVST,RESP054,"(35.68094058, -85.774490914)"
2002,NV,Nevada,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),Yes,Less than H.S.,Education Attained,22,5.1,1.8,8.4,372,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,32,EDUCA1,CAT5,_LTASTHM,RESP046,"(39.49324039, -117.071840564)"
1996,VT,Vermont,Demographics,Employment,What is your employment status?,Self emplyd,"Other, non-Hispanic",Race/Ethnicity,2,,,,1139,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS05,Topic22,50,RACE4,CAT4,EMPLOY,RESP026,"(43.625381239, -72.517640791)"
2007,MA,Massachusetts,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,No,Hispanic,Race/Ethnicity,1616,98.3,97.3,99.3,2382,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,25,RACE3,CAT4,CVDSTRK3,RESP054,"(42.27687047, -72.082690675)"
1995,AL,Alabama,Demographics,Employment,What is your employment status?,Unable to work,Female,Gender,72,5.0,3.7,6.3,1324,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,1,SEX2,CAT2,EMPLOY,RESP032,"(32.840571122, -86.631860762)"
2000,MS,Mississippi,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Neither overweight nor obese (BMI le 24.9),Some post-H.S.,Education Attained,224,40.0,35.3,44.7,1465,%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,28,EDUCA3,CAT5,_BMI2CAT,RESP045,"(32.745510099, -89.538030825)"
2002,GA,Georgia,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,"$25,000-$34,999",Household Income,114,15.0,11.6,18.4,159,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,13,INCOME3,CAT6,_RFHLTH,RESP062,"(32.839681093, -83.627580346)"
1999,VT,Vermont,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,"$35,000-$49,999",Household Income,79,14.5,11.2,17.8,613,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,50,INCOME4,CAT6,_SMOKER2,RESP068,"(43.625381239, -72.517640791)"
2007,PR,Puerto Rico,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),No,Less than H.S.,Education Attained,952,85.4,82.9,87.9,589,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,72,EDUCA1,CAT5,_LTASTHM,RESP054,"(18.220833, -66.590149)"
2009,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,"Other, non-Hispanic",Race/Ethnicity,71,,,,183,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS07,Topic29,1,RACE4,CAT4,HLTHPLAN,RESP046,"(32.840571122, -86.631860762)"
2007,MT,Montana,Demographics,Employment,What is your employment status?,No work< yr,Some post-H.S.,Education Attained,29,1.8,1.0,2.6,1497,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,30,EDUCA3,CAT5,EMPLOY,RESP027,"(47.066528972, -109.424420645)"
2002,VI,Virgin Islands,Demographics,Race,What is your race/ethnicity?,White,18-24,Age Group,12,6.9,2.5,11.3,995,%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,78,AGE01,CAT3,RACE,RESP005,"(18.335765, -64.896335)"
2001,AK,Alaska,Alcohol Consumption,Binge Drinking,Binge drinkers (adults having five or more drinks on one occasion) (variable calculated from one or more BRFSS questions),No,"Less than $15,000",Household Income,206,84.0,78.0,90.0,1010,%,Crude Prevalence,,,BRFSS,CLASS01,Topic07,2,INCOME1,CAT6,_RFBINGE,RESP054,"(64.845079957001, -147.722059036)"
2007,VA,Virginia,Cholesterol Awareness,Cholesterol Checked,Adults who have had their blood cholesterol checked within the last five years (variable calculated from one or more BRFSS questions),Never Checked,"White, non-Hispanic",Race/Ethnicity,432,14.5,12.7,16.3,516,%,Crude Prevalence,,,BRFSS,CLASS02,Topic11,51,RACE1,CAT4,_CHOLCHK,RESP074,"(37.542680674, -78.457890463)"
2005,CT,Connecticut,Hypertension Awareness,High Blood Pressure,Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions),Yes,35-44,Age Group,139,13.9,11.4,16.4,396,%,Crude Prevalence,,,BRFSS,CLASS10,Topic31,9,AGE03,CAT3,_RFHYPE5,RESP046,"(41.56266102, -72.649840952)"
1995,NV,Nevada,Demographics,Age,What is your age?,55-64 years,"$50,000+",Household Income,52,9.1,6.4,11.8,971,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,32,INCOME5,CAT6,AGE,RESP014,"(39.49324039, -117.071840564)"
2007,DE,Delaware,Demographics,Disability status,"Adults who are limited in any activities because of physical, mental, or emotional problems",No,Male,Gender,1175,80.5,77.2,83.8,1976,%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,10,SEX1,CAT2,QLACTLM2,RESP054,"(39.008830667, -75.577741168)"
2002,WV,West Virginia,Immunization,Flu Shot,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),Yes,"$35,000-$49,999",Household Income,53,,,,664,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS11,Topic26,54,INCOME4,CAT6,_FLUSHOT,RESP046,"(38.665510202, -80.712640135)"
2010,CO,Colorado,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),,College graduate,Education Attained,3320,54.1,52.1,56.1,1398,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,8,EDUCA4,CAT5,_CHLDCNT,RESP095,"(38.843840757, -106.133610921)"
1995,AL,Alabama,Demographics,Marital Status,What is your marital status?,Married,College graduate,Education Attained,247,69.5,64.6,74.4,1051,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,1,EDUCA4,CAT5,MARITAL,RESP033,"(32.840571122, -86.631860762)"
1998,VA,Virginia,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),"$25,000-$34,999",Household Income,194,37.8,32.4,43.2,1441,%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,51,INCOME3,CAT6,_BMI2CAT,RESP040,"(37.542680674, -78.457890463)"
2006,TX,Texas,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,50-59,Age Group,216,28.1,23.2,33.0,1952,%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,48,AGE07,CAT3,_MAM502Y,RESP054,"(31.827240407, -99.426770206)"
1997,UT,Utah,Alcohol Consumption,Chronic Drinking,Chronic drinkers (adult respondents having more than 60 alcoholic beverages in the past month) (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,11,1.6,0.3,2.9,751,%,Crude Prevalence,,,BRFSS,CLASS01,Topic13,49,INCOME2,CAT6,_RFDRCHR,RESP046,"(39.360700171, -111.587130635)"
2003,MS,Mississippi,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),No,35-44,Age Group,763,92.0,89.9,94.1,675,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,28,AGE03,CAT3,_CASTHMA,RESP054,"(32.745510099, -89.538030825)"
2000,PR,Puerto Rico,Women's Health,Pap Test,Women aged 18+ who have had a pap smear within the past three years (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,2,,,,1553,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS18,Topic42,72,RACE2,CAT4,_RFPAP3Y,RESP046,"(18.220833, -66.590149)"
2007,NV,Nevada,Demographics,Employment,What is your employment status?,Student,Male,Gender,24,2.6,1.4,3.8,1396,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,32,SEX1,CAT2,EMPLOY,RESP030,"(39.49324039, -117.071840564)"
2001,TN,Tennessee,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Two children,"Less than $15,000",Household Income,20,8.4,4.5,12.3,1546,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,47,INCOME1,CAT6,_CHLDCNT,RESP093,"(35.68094058, -85.774490914)"
2008,OR,Oregon,Alcohol Consumption,Binge Drinking,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",No,65+,Age Group,1385,97.1,96.1,98.0,1978,%,Crude Prevalence,,,BRFSS,CLASS01,Topic07,41,AGE09,CAT3,_RFBING4,RESP054,"(44.567449424, -120.155031326)"
2010,US,"All States, DC and Territories (median) **",Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,Overall,Overall,54,30.4,,,474,%,Crude Prevalence,**,Median value reported with no confidence intervals,BRFSS,CLASS13,Topic16,99,BO1,CAT1,_DENVST1,RESP054,
2009,GA,Georgia,Immunization,Pneumonia Vaccination,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,1060,63.4,60.6,66.3,2171,%,Crude Prevalence,,,BRFSS,CLASS11,Topic46,13,BO1,CAT1,_PNEUMO2,RESP046,"(32.839681093, -83.627580346)"
2010,MN,Minnesota,Physical Activity,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,45-54,Age Group,1684,83.4,81.1,85.8,261,%,Crude Prevalence,,,BRFSS,CLASS15,Topic23,27,AGE04,CAT3,_TOTINDA,RESP046,"(46.355648736, -94.794200503)"
2001,PR,Puerto Rico,Demographics,Sex,Gender of respondent,Male,45-54,Age Group,283,46.2,41.5,50.9,1717,%,Crude Prevalence,,,BRFSS,CLASS05,Topic51,72,AGE04,CAT3,SEX,RESP001,"(18.220833, -66.590149)"
2003,NY,New York,Immunization,Flu Shot,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),No,Male,Gender,116,30.7,25.3,36.1,715,%,Crude Prevalence,,,BRFSS,CLASS11,Topic26,36,SEX1,CAT2,_FLUSHOT,RESP054,"(42.827001032, -75.543970427)"
2002,MS,Mississippi,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,113,14.0,11.3,16.7,718,%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,28,AGE09,CAT3,_RFSMOK2,RESP046,"(32.745510099, -89.538030825)"
2008,MO,Missouri,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,"$35,000-$49,999",Household Income,274,35.1,30.1,40.1,515,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,29,INCOME4,CAT6,_DENVST1,RESP054,"(38.635790776, -92.566300053)"
2001,WI,Wisconsin,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),No,"$35,000-$49,999",Household Income,603,92.3,90.0,94.6,700,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,55,INCOME4,CAT6,_CASTHMA,RESP054,"(44.393191174, -89.816370742)"
2002,RI,Rhode Island,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),No,25-34,Age Group,592,87.9,85.0,90.8,356,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,44,AGE02,CAT3,_LTASTHM,RESP054,"(41.708280193, -71.522470314)"
1996,OK,Oklahoma,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,College graduate,Education Attained,44,14.1,9.4,18.8,480,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,40,EDUCA4,CAT5,_SMOKER2,RESP068,"(35.472031356, -97.521070214)"
2007,OR,Oregon,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,Yes,Some post-H.S.,Education Attained,65,3.3,2.3,4.3,2274,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,41,EDUCA3,CAT5,CVDINFR4,RESP046,"(44.567449424, -120.155031326)"
2010,HI,Hawaii,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,18-24,Age Group,247,93.0,88.5,97.5,122,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,15,AGE01,CAT3,_RFHLTH,RESP061,"(21.304850435, -157.857749403)"
2000,CA,California,Demographics,Employment,What is your employment status?,Student,H.S. or G.E.D.,Education Attained,38,5.5,3.6,7.4,1251,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,6,EDUCA2,CAT5,EMPLOY,RESP030,"(37.638640123, -120.999999538)"
2008,SC,South Carolina,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,"Other, non-Hispanic",Race/Ethnicity,40,10.5,5.2,15.7,142,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,45,RACE4,CAT4,_RFHLTH,RESP062,"(33.998821303, -81.045371207)"
2005,KS,Kansas,Demographics,Disability status,"Adults who are limited in any activities because of physical, mental, or emotional problems",No,Some post-H.S.,Education Attained,1813,79.8,77.9,81.7,2019,%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,20,EDUCA3,CAT5,QLACTLM2,RESP054,"(38.3477403, -98.200781227)"
2008,AR,Arkansas,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"No, pre-diabetes or borderline diabetes","$50,000+",Household Income,13,0.5,0.2,0.8,386,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,5,INCOME5,CAT6,DIABETE2,RESP052,"(34.748650124, -92.274490743)"
2001,AZ,Arizona,Health Status,Overall Health,How is your general health?,Good,Overall,Overall,919,28.0,25.8,30.2,3,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,4,BO1,CAT1,GENHLTH,RESP058,"(34.86597028, -111.763811277)"
1995,AR,Arkansas,Hypertension Awareness,High Blood Pressure,Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions),Yes,"$35,000-$49,999",Household Income,52,20.7,15.4,26.0,277,%,Crude Prevalence,,,BRFSS,CLASS10,Topic31,5,INCOME4,CAT6,_RFHYPE2,RESP046,"(34.748650124, -92.274490743)"
1995,NM,New Mexico,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,45-54,Age Group,38,21.3,14.7,27.9,1131,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,35,AGE04,CAT3,_CHLDCNT,RESP094,"(34.520880952, -106.240580985)"
2010,NJ,New Jersey,Prostate Cancer,PSA Test,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),Yes,Less than H.S.,Education Attained,124,54.1,44.1,64.0,2283,%,Crude Prevalence,,,BRFSS,CLASS16,Topic47,34,EDUCA1,CAT5,_RFPSA2Y,RESP046,"(40.130570048, -74.273691288)"
2010,WY,Wyoming,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Two children,35-44,Age Group,226,34.1,30.2,38.0,1342,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,56,AGE03,CAT3,_CHLDCNT,RESP093,"(43.235541343, -108.109830353)"
2009,WV,West Virginia,Physical Activity,Physical Activity,Adults with 20+ minutes of vigorous physical activity three or more days per week (variable calculated from one or more BRFSS questions),No,Male,Gender,1528,80.9,78.5,83.3,2336,%,Crude Prevalence,,,BRFSS,CLASS15,Topic44,54,SEX1,CAT2,_RFPAVIG,RESP054,"(38.665510202, -80.712640135)"
